Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Explicit Track
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,0.0028016810086051633,301.6,6.916179784031809e-05,0.0004674868011199358,9.31755812752196e-05,0.11578947368421053,0.4127061353333221,0.2693813695056907,4.662004770676101e-08,4.622091055523517e-08,9.524838073447602e-08,0.04230776451997829,0.0,0.0005939892339451347,0.0,0.0008731717467308553,0.020733652312599677,0.0
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,0.003001801080648389,299.9,0.2162002784760502,0.17548370486677473,0.3047338566110672,0.8210526315789474,0.057239178144403165,0.06891448359309794,0.25768063537717095,0.022225446804048813,0.03215349531362251,0.28014097736888605,0.10839160839160839,0.051878434703371,0.09350237717908083,0.1168814400825232,0.39234449760765544,1.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,0.003201921152691615,297.6,0.09235906035453965,0.021651752821435288,0.6782429372450072,0.9263157894736842,0.0064126992583695,0.03986538268894843,0.0032470630127520513,0.0010798566625067406,0.0008888861912676178,0.03688676473811293,0.2564102564102564,0.07310511246983649,0.15530903328050713,0.7881789496456575,0.6363636363636364,0.0
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,0.003402041224734841,293.7,0.293957288990367,0.17821579258491405,0.757959106829185,0.9052631578947368,0.008677818139697663,0.024310446890455598,0.05348317140986413,0.017862961563147026,0.023393654842331073,0.36589747946511825,0.2400932400932401,0.37536519650581335,0.29635499207606975,0.45206513261618797,0.7129186602870813,1.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,0.003602161296778067,292.6,0.02131778107007717,0.01100626533941066,0.1993095477491558,0.894736842105263,0.0009825019960927992,0.009137240501114774,0.02195568815747525,0.0051009523410512694,0.005253756537477915,0.0008010153164109639,0.08741258741258741,0.0001012481648770116,0.0364500792393027,0.10485953429166518,0.15311004784688995,0.0
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,0.0038022813688212928,292.0,0.7711872971342403,0.6895735199215435,0.6471799655972303,0.9052631578947368,0.049066372098300136,0.14606636879169335,0.06424014135757905,0.06960701345583105,0.06605380587543083,1.0,0.5291375291375291,1.0,0.5213946117274169,0.2678096900133448,0.8995215311004784,0.0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,0.0040024014408645186,290.5,0.2488394978877954,0.2894505505673359,0.4639422602922376,0.8105263157894737,0.01476281102805717,0.04412762119603819,0.07206832335823597,0.027793412882354714,0.030422731923675474,0.1459032295206015,0.182983682983683,0.22550103779369,0.22503961965134706,0.2846316025430928,0.69377990430622,1.0
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,0.004202521512907744,281.5,0.1279658857466705,0.04136919431359895,0.9999999999999999,0.9894736842105263,0.006588918033133169,0.029300307935237403,0.00487643368010335,0.007205532895355374,0.005914699264690962,0.05797846608143486,0.34615384615384615,0.02092855816988317,0.2630744849445325,0.8592616653909182,0.708133971291866,1.0
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,0.00440264158495097,279.0,0.3866838387501734,1.5244134819128341e-05,2.492915650220652e-06,0.5578947368421052,0.07983255022906177,0.13647074058896955,0.04227719601267745,0.0006021615497222597,0.0010667717412719603,0.08738514134290415,0.16472416472416473,0.012838079809803449,0.06814580031695722,0.01511283902593523,0.07177033492822966,1.0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,0.004602761656994196,278.9,0.09966206520319314,0.057661786849731785,0.5829329932518641,0.894736842105263,0.002188566917468285,0.007028516916890995,0.034277366766372185,0.02066949657265835,0.02794897548989537,0.16642310130056284,0.18414918414918416,0.17408834464875325,0.3058637083993661,0.844964699565742,0.8421052631578947,1.0
Future,Future,official sound studio,2024-01-10,RUA1H2415548,0.004802881729037422,277.5,0.037332728269163985,0.0,3.811797630306807e-09,0.08771929824561403,0.09237009134579721,0.07661025397368394,0.22035739441392527,0.01163984394026288,0.018463435226186282,0.0003220360777522096,0.0003885003885003885,2.5874531024125188e-05,0.013206550449022714,0.006503436837329954,0.01594896331738437,0.0
